What is the French word for 'to lose'?,perdre
How do you say 'to finish' in French?,finir
What is the French word for 'to choose'?,choisir
How do you say 'to arrive' in French?,arriver
What is the French word for 'to wait'?,attendre
What is the French word for 'to learn'?,apprendre
How do you say 'to understand' in French?,comprendre
What is the French word for 'to believe'?,croire
What is the French word for 'to become'?,devenir
How do you say 'to start' in French?,commencer
What is the French word for 'to hope'?,espérer
How do you say 'to think' in French?,penser
What is the French word for 'to speak'?,discuter
How do you say 'to answer' in French?,répondre
What is the French word for 'to bring'?,apporter
How do you say 'to open' in French?,ouvrir
What is the French word for 'to close'?,fermer
How do you say 'to break' in French?,casser
What is the French word for 'to keep'?,garder
How do you say 'to forget' in French?,oublier
What is the French word for 'to remember'?,se souvenir
How do you say 'to borrow' in French?,emprunter
What is the French word for 'to lend'?,prêter
How do you say 'to send' in French?,envoyer
What is the French word for 'to receive'?,recevoir
How do you say 'to pay' in French?,payer
What is the French word for 'to serve'?,servir
How do you say 'to sell' in French?,vendre
What is the French word for 'to call'?,appeler
How do you say 'to ask' in French?,demander
What is the French word for 'to explain'?,expliquer
How do you say 'to listen' in French?,écouter
What is the French word for 'to teach'?,enseigner
How do you say 'to prepare' in French?,préparer
What is the French word for 'to watch'?,regarder
How do you say 'to cook' in French?,cuisiner
What is the French word for 'to swim'?,nager
How do you say 'to drive' in French?,conduire
What is the French word for 'to travel'?,voyager
How do you say 'to take' in French?,prendre
What is the French word for 'to give'?,donner
How do you say 'to follow' in French?,suivre
What is the French word for 'to build'?,construire
How do you say 'to destroy' in French?,détruire
What is the French word for 'to use'?,utiliser
How do you say 'to walk' in French?,promener
What is the French word for 'to run'?,courir
How do you say 'to cry' in French?,pleurer
What is the French word for 'to smile'?,sourire
How do you say 'to laugh' in French?,rire
What is the French word for 'to shout'?,crier
How do you say 'to play' in French?,jouer
What is the French word for 'to meet'?,rencontrer
How do you say 'to begin' in French?,démarrer
What is the French word for 'to finish'?,terminer
How do you say 'to participate' in French?,participer
What is the French word for 'to continue'?,continuer
How do you say 'to stop' in French?,arrêter
What is the French word for 'to cancel'?,annuler
How do you say 'to succeed' in French?,réussir
What is the French word for 'to try'?,essayer
How do you say 'to fail' in French?,échouer
What is the French word for 'to agree'?,être d'accord
How do you say 'to promise' in French?,promettre
What is the French word for 'to lie'?,mentir
How do you say 'to tell the truth' in French?,dire la vérité
What is the French word for 'to be wrong'?,avoir tort
How do you say 'to argue' in French?,se disputer
What is the French word for 'to make peace'?,faire la paix
How do you say 'to leave' in French?,quitter
What is the French word for 'to stay'?,rester
How do you say 'to enter' in French?,entrer
What is the French word for 'to go out'?,sortir
How do you say 'to wake up' in French?,se réveiller
What is the French word for 'to get up'?,se lever
How do you say 'to go to bed' in French?,se coucher
What is the French word for 'to get dressed'?,s'habiller
How do you say 'to undress' in French?,se déshabiller
What is the French word for 'to wash'?,se laver
How do you say 'to brush' in French?,se brosser
What is the French word for 'to comb'?,se peigner
How do you say 'to shave' in French?,se raser
What is the French word for 'to clean'?,nettoyer
How do you say 'to iron' in French?,repasser
What is the French word for 'to cook'?,cuisiner
How do you say 'to bake' in French?,faire cuire
What is the French word for 'to boil'?,bouillir
How do you say 'to fry' in French?,frire
What is the French word for 'to cut'?,couper
How do you say 'to mix' in French?,mélanger
What is the French word for 'to taste'?,goûter
How do you say 'to add' in French?,ajouter
What is the French word for 'to remove'?,enlever
What is the French word for 'to help'?,aider
What is the French word for 'to decide'?,décider
How do you say 'to stay' in French?,rester
What is the French word for 'to change'?,changer
How do you say 'to visit' in French?,visiter
What is the French word for 'to find'?,trouver
How do you say 'to win' in French?,gagner
What is the French word for 'to lose'?,perdre
How do you say 'to finish' in French?,finir
What is the French word for 'to choose'?,choisir
How do you say 'to arrive' in French?,arriver
What is the French word for 'to wait'?,attendre
What is the French word for 'to learn'?,apprendre
How do you say 'to understand' in French?,comprendre
What is the French word for 'to believe'?,croire
What is the French word for 'to become'?,devenir
How do you say 'to start' in French?,commencer
What is the French word for 'to hope'?,espérer
How do you say 'to think' in French?,penser
What is the French word for 'to speak'?,discuter
How do you say 'to answer' in French?,répondre
What is the French word for 'to bring'?,apporter
How do you say 'to open' in French?,ouvrir
What is the French word for 'to close'?,fermer
How do you say 'to break' in French?,casser
What is the French word for 'to keep'?,garder
How do you say 'to forget' in French?,oublier
What is the French word for 'to remember'?,se souvenir
How do you say 'to borrow' in French?,emprunter
What is the French word for 'to lend'?,prêter
How do you say 'to send' in French?,envoyer
What is the French word for 'to receive'?,recevoir
How do you say 'to pay' in French?,payer
What is the French word for 'to serve'?,servir
How do you say 'to sell' in French?,vendre
What is the French word for 'to call'?,appeler
How do you say 'to ask' in French?,demander
What is the French word for 'to explain'?,expliquer
How do you say 'to listen' in French?,écouter
What is the French word for 'to teach'?,enseigner
How do you say 'to prepare' in French?,préparer
What is the French word for 'to watch'?,regarder
How do you say 'to cook' in French?,cuisiner
What is the French word for 'to swim'?,nager
How do you say 'to drive' in French?,conduire
What is the French word for 'to travel'?,voyager
How do you say 'to take' in French?,prendre
What is the French word for 'to give'?,donner
How do you say 'to follow' in French?,suivre
What is the French word for 'to build'?,construire
How do you say 'to destroy' in French?,détruire
What is the French word for 'to use'?,utiliser
How do you say 'to walk' in French?,promener
What is the French word for 'to run'?,courir
How do you say 'to cry' in French?,pleurer
What is the French word for 'to smile'?,sourire
How do you say 'to laugh' in French?,rire
What is the French word for 'to shout'?,crier
How do you say 'to play' in French?,jouer
What is the French word for 'to meet'?,rencontrer
How do you say 'to begin' in French?,démarrer
What is the French word for 'to finish'?,terminer
How do you say 'to participate' in French?,participer
What is the French word for 'to continue'?,continuer
How do you say 'to stop' in French?,arrêter
What is the French word for 'to cancel'?,annuler
How do you say 'to succeed' in French?,réussir
What is the French word for 'to try'?,essayer
How do you say 'to fail' in French?,échouer
What is the French word for 'to agree'?,être d'accord
How do you say 'to promise' in French?,promettre
What is the French word for 'to lie'?,mentir
How do you say 'to tell the truth' in French?,dire la vérité
What is the French word for 'to be wrong'?,avoir tort
How do you say 'to argue' in French?,se disputer
What is the French word for 'to make peace'?,faire la paix
How do you say 'to leave' in French?,quitter
What is the French word for 'to stay'?,rester
How do you say 'to enter' in French?,entrer
What is the French word for 'to go out'?,sortir
How do you say 'to wake up' in French?,se réveiller
What is the French word for 'to get up'?,se lever
How do you say 'to go to bed' in French?,se coucher
What is the French word for 'to get dressed'?,s'habiller
How do you say 'to undress' in French?,se déshabiller
What is the French word for 'to wash'?,se laver
How do you say 'to brush' in French?,se brosser
What is the French word for 'to comb'?,se peigner
How do you say 'to shave' in French?,se raser
What is the French word for 'to clean'?,nettoyer
How do you say 'to iron' in French?,repasser
What is the French word for 'to cook'?,cuisiner
How do you say 'to bake' in French?,faire cuire
What is the French word for 'to boil'?,bouillir
How do you say 'to fry' in French?,frire
What is the French word for 'to cut'?,couper
How do you say 'to mix' in French?,mélanger
What is the French word for 'to taste'?,goûter
How do you say 'to add' in French?,ajouter
What is the French word for 'to remove'?,enlever
What is the French word for 'to help'?,aider
What is the French word for 'to decide'?,décider
How do you say 'to stay' in French?,rester
What is the French word for 'to change'?,changer
How do you say 'to visit' in French?,visiter
What is the French word for 'to find'?,trouver
How do you say 'to win' in French?,gagner
What is the French word for 'to lose'?,perdre
How do you say 'to finish' in French?,finir
What is the French word for 'to choose'?,choisir
How do you say 'to arrive' in French?,arriver
What is the French word for 'to wait'?,attendre
What is the French word for 'to learn'?,apprendre
How do you say 'to understand' in French?,comprendre
What is the French word for 'to believe'?,croire
What is the French word for 'to become'?,devenir
How do you say 'to start' in French?,commencer
What is the French word for 'to hope'?,espérer
How do you say 'to think' in French?,penser
What is the French word for 'to speak'?,discuter
How do you say 'to answer' in French?,répondre
What is the French word for 'to bring'?,apporter
How do you say 'to open' in French?,ouvrir
What is the French word for 'to close'?,fermer
How do you say 'to break' in French?,casser
What is the French word for 'to keep'?,garder
How do you say 'to forget' in French?,oublier
What is the French word for 'to remember'?,se souvenir
How do you say 'to borrow' in French?,emprunter
What is the French word for 'to lend'?,prêter
How do you say 'to send' in French?,envoyer
What is the French word for 'to receive'?,recevoir
How do you say 'to pay' in French?,payer
What is the French word for 'to serve'?,servir
How do you say 'to sell' in French?,vendre
What is the French word for 'to call'?,appeler
How do you say 'to ask' in French?,demander
What is the French word for 'to explain'?,expliquer
How do you say 'to listen' in French?,écouter
What is the French word for 'to teach'?,enseigner
How do you say 'to prepare' in French?,préparer
What is the French word for 'to watch'?,regarder
How do you say 'to cook' in French?,cuisiner
What is the French word for 'to swim'?,nager
How do you say 'to drive' in French?,conduire
What is the French word for 'to travel'?,voyager
How do you say 'to take' in French?,prendre
What is the French word for 'to give'?,donner
How do you say 'to follow' in French?,suivre
What is the French word for 'to build'?,construire
How do you say 'to destroy' in French?,détruire
What is the French word for 'to use'?,utiliser
How do you say 'to walk' in French?,promener
What is the French word for 'to run'?,courir
How do you say 'to cry' in French?,pleurer
What is the French word for 'to smile'?,sourire
How do you say 'to laugh' in French?,rire
What is the French word for 'to shout'?,crier
How do you say 'to play' in French?,jouer
What is the French word for 'to meet'?,rencontrer
How do you say 'to begin' in French?,démarrer
What is the French word for 'to finish'?,terminer
How do you say 'to participate' in French?,participer
What is the French word for 'to continue'?,continuer
How do you say 'to stop' in French?,arrêter
What is the French word for 'to cancel'?,annuler
How do you say 'to succeed' in French?,réussir
What is the French word for 'to try'?,essayer
How do you say 'to fail' in French?,échouer
What is the French word for 'to agree'?,être d'accord
How do you say 'to promise' in French?,promettre
What is the French word for 'to lie'?,mentir
How do you say 'to tell the truth' in French?,dire la vérité
What is the French word for 'to be wrong'?,avoir tort
How do you say 'to argue' in French?,se disputer
What is the French word for 'to make peace'?,faire la paix
How do you say 'to leave' in French?,quitter
What is the French word for 'to stay'?,rester
How do you say 'to enter' in French?,entrer
What is the French word for 'to go out'?,sortir
How do you say 'to wake up' in French?,se réveiller
What is the French word for 'to get up'?,se lever
How do you say 'to go to bed' in French?,se coucher
What is the French word for 'to get dressed'?,s'habiller
How do you say 'to undress' in French?,se déshabiller
What is the French word for 'to wash'?,se laver
How do you say 'to brush' in French?,se brosser
What is the French word for 'to comb'?,se peigner
How do you say 'to shave' in French?,se raser
What is the French word for 'to clean'?,nettoyer
How do you say 'to iron' in French?,repasser
What is the French word for 'to cook'?,cuisiner
How do you say 'to bake' in French?,faire cuire
What is the French word for 'to boil'?,bouillir
How do you say 'to fry' in French?,frire
What is the French word for 'to cut'?,couper
How do you say 'to mix' in French?,mélanger
What is the French word for 'to taste'?,goûter
How do you say 'to add' in French?,ajouter
What is the French word for 'to remove'?,enlever
What is the French word for 'to help'?,aider
What is the French word for 'to decide'?,décider
How do you say 'to stay' in French?,rester
What is the French word for 'to change'?,changer
How do you say 'to visit' in French?,visiter
What is the French word for 'to find'?,trouver
How do you say 'to win' in French?,gagner
What is the French word for 'to lose'?,perdre
How do you say 'to finish' in French?,finir
What is the French word for 'to choose'?,choisir
How do you say 'to arrive' in French?,arriver
What is the French word for 'to wait'?,attendre
What is the French word for 'to learn'?,apprendre
How do you say 'to understand' in French?,comprendre
What is the French word for 'to believe'?,croire
What is the French word for 'to become'?,devenir
How do you say 'to start' in French?,commencer
What is the French word for 'to hope'?,espérer
How do you say 'to think' in French?,penser
What is the French word for 'to speak'?,discuter
How do you say 'to answer' in French?,répondre
What is the French word for 'to bring'?,apporter
How do you say 'to open' in French?,ouvrir
What is the French word for 'to close'?,fermer
How do you say 'to break' in French?,casser
What is the French word for 'to keep'?,garder
How do you say 'to forget' in French?,oublier
What is the French word for 'to remember'?,se souvenir
How do you say 'to borrow' in French?,emprunter
What is the French word for 'to lend'?,prêter
How do you say 'to send' in French?,envoyer
What is the French word for 'to receive'?,recevoir
How do you say 'to pay' in French?,payer
What is the French word for 'to serve'?,servir
How do you say 'to sell' in French?,vendre
What is the French word for 'to call'?,appeler
How do you say 'to ask' in French?,demander
What is the French word for 'to explain'?,expliquer
How do you say 'to listen' in French?,écouter
What is the French word for 'to teach'?,enseigner
How do you say 'to prepare' in French?,préparer
What is the French word for 'to watch'?,regarder
How do you say 'to cook' in French?,cuisiner
What is the French word for 'to swim'?,nager
How do you say 'to drive' in French?,conduire
What is the French word for 'to travel'?,voyager
How do you say 'to take' in French?,prendre
What is the French word for 'to give'?,donner
How do you say 'to follow' in French?,suivre
What is the French word for 'to build'?,construire
How do you say 'to destroy' in French?,détruire
What is the French word for 'to use'?,utiliser
How do you say 'to walk' in French?,promener
What is the French word for 'to run'?,courir
How do you say 'to cry' in French?,pleurer
What is the French word for 'to smile'?,sourire
How do you say 'to laugh' in French?,rire
What is the French word for 'to shout'?,crier
How do you say 'to play' in French?,jouer
What is the French word for 'to meet'?,rencontrer
How do you say 'to begin' in French?,démarrer
What is the French word for 'to finish'?,terminer
How do you say 'to participate' in French?,participer
What is the French word for 'to continue'?,continuer
How do you say 'to stop' in French?,arrêter
What is the French word for 'to cancel'?,annuler
How do you say 'to succeed' in French?,réussir
What is the French word for 'to try'?,essayer
How do you say 'to fail' in French?,échouer
What is the French word for 'to agree'?,être d'accord
How do you say 'to promise' in French?,promettre
What is the French word for 'to lie'?,mentir
How do you say 'to tell the truth' in French?,dire la vérité
What is the French word for 'to be wrong'?,avoir tort
How do you say 'to argue' in French?,se disputer
What is the French word for 'to make peace'?,faire la paix
How do you say 'to leave' in French?,quitter
What is the French word for 'to stay'?,rester
How do you say 'to enter' in French?,entrer
What is the French word for 'to go out'?,sortir
How do you say 'to wake up' in French?,se réveiller
What is the French word for 'to get up'?,se lever
How do you say 'to go to bed' in French?,se coucher
What is the French word for 'to get dressed'?,s'habiller
How do you say 'to undress' in French?,se déshabiller
What is the French word for 'to wash'?,se laver
How do you say 'to brush' in French?,se brosser
What is the French word for 'to comb'?,se peigner
How do you say 'to shave' in French?,se raser
What is the French word for 'to clean'?,nettoyer
How do you say 'to iron' in French?,repasser
What is the French word for 'to cook'?,cuisiner
How do you say 'to bake' in French?,faire cuire
What is the French word for 'to boil'?,bouillir
How do you say 'to fry' in French?,frire
What is the French word for 'to cut'?,couper
How do you say 'to mix' in French?,mélanger
What is the French word for 'to taste'?,goûter
How do you say 'to add' in French?,ajouter
What is the French word for 'to remove'?,enlever
What is the French word for 'to help'?,aider
What is the French word for 'to decide'?,décider
How do you say 'to stay' in French?,rester
What is the French word for 'to change'?,changer
How do you say 'to visit' in French?,visiter
What is the French word for 'to find'?,trouver
How do you say 'to win' in French?,gagner
What is the French word for 'to lose'?,perdre
How do you say 'to finish' in French?,finir
What is the French word for 'to choose'?,choisir
How do you say 'to arrive' in French?,arriver
What is the French word for 'to wait'?,attendre
What is the French word for 'to learn'?,apprendre
How do you say 'to understand' in French?,comprendre
What is the French word for 'to believe'?,croire
What is the French word for 'to become'?,devenir
How do you say 'to start' in French?,commencer
What is the French word for 'to hope'?,espérer
How do you say 'to think' in French?,penser
What is the French word for 'to speak'?,discuter
How do you say 'to answer' in French?,répondre
What is the French word for 'to bring'?,apporter
How do you say 'to open' in French?,ouvrir
What is the French word for 'to close'?,fermer
How do you say 'to break' in French?,casser
What is the French word for 'to keep'?,garder
How do you say 'to forget' in French?,oublier
What is the French word for 'to remember'?,se souvenir
How do you say 'to borrow' in French?,emprunter
What is the French word for 'to lend'?,prêter
How do you say 'to send' in French?,envoyer
What is the French word for 'to receive'?,recevoir
How do you say 'to pay' in French?,payer
What is the French word for 'to serve'?,servir
How do you say 'to sell' in French?,vendre
What is the French word for 'to call'?,appeler
How do you say 'to ask' in French?,demander
What is the French word for 'to explain'?,expliquer
How do you say 'to listen' in French?,écouter
What is the French word for 'to teach'?,enseigner
How do you say 'to prepare' in French?,préparer
What is the French word for 'to watch'?,regarder
How do you say 'to cook' in French?,cuisiner
What is the French word for 'to swim'?,nager
How do you say 'to drive' in French?,conduire
What is the French word for 'to travel'?,voyager
How do you say 'to take' in French?,prendre
What is the French word for 'to give'?,donner
How do you say 'to follow' in French?,suivre
What is the French word for 'to build'?,construire
How do you say 'to destroy' in French?,détruire
What is the French word for 'to use'?,utiliser
How do you say 'to walk' in French?,promener
What is the French word for 'to run'?,courir
How do you say 'to cry' in French?,pleurer
What is the French word for 'to smile'?,sourire
How do you say 'to laugh' in French?,rire
What is the French word for 'to shout'?,crier
How do you say 'to play' in French?,jouer
What is the French word for 'to meet'?,rencontrer
How do you say 'to begin' in French?,démarrer
What is the French word for 'to finish'?,terminer
How do you say 'to participate' in French?,participer
What is the French word for 'to continue'?,continuer
How do you say 'to stop' in French?,arrêter
What is the French word for 'to cancel'?,annuler
How do you say 'to succeed' in French?,réussir
What is the French word for 'to try'?,essayer
How do you say 'to fail' in French?,échouer
What is the French word for 'to agree'?,être d'accord
How do you say 'to promise' in French?,promettre
What is the French word for 'to lie'?,mentir
How do you say 'to tell the truth' in French?,dire la vérité
What is the French word for 'to be wrong'?,avoir tort
How do you say 'to argue' in French?,se disputer
What is the French word for 'to make peace'?,faire la paix
How do you say 'to leave' in French?,quitter
What is the French word for 'to stay'?,rester
How do you say 'to enter' in French?,entrer
What is the French word for 'to go out'?,sortir
How do you say 'to wake up' in French?,se réveiller
What is the French word for 'to get up'?,se lever
How do you say 'to go to bed' in French?,se coucher
What is the French word for 'to get dressed'?,s'habiller
How do you say 'to undress' in French?,se déshabiller
What is the French word for 'to wash'?,se laver
How do you say 'to brush' in French?,se brosser
What is the French word for 'to comb'?,se peigner
How do you say 'to shave' in French?,se raser
What is the French word for 'to clean'?,nettoyer
How do you say 'to iron' in French?,repasser
What is the French word for 'to cook'?,cuisiner
How do you say 'to bake' in French?,faire cuire
What is the French word for 'to boil'?,bouillir
How do you say 'to fry' in French?,frire
What is the French word for 'to cut'?,couper
How do you say 'to mix' in French?,mélanger
What is the French word for 'to taste'?,goûter
How do you say 'to add' in French?,ajouter
What is the French word for 'to remove'?,enlever
What is the French word for 'to help'?,aider
What is the French word for 'to decide'?,décider
How do you say 'to stay' in French?,rester
What is the French word for 'to change'?,changer
How do you say 'to visit' in French?,visiter
What is the French word for 'to find'?,trouver
How do you say 'to win' in French?,gagner
What is the French word for 'to lose'?,perdre
How do you say 'to finish' in French?,finir
What is the French word for 'to choose'?,choisir
How do you say 'to arrive' in French?,arriver
What is the French word for 'to wait'?,attendre
What is the French word for 'to learn'?,apprendre
How do you say 'to understand' in French?,comprendre
What is the French word for 'to believe'?,croire
What is the French word for 'to become'?,devenir
How do you say 'to start' in French?,commencer
What is the French word for 'to hope'?,espérer
How do you say 'to think' in French?,penser
What is the French word for 'to speak'?,discuter
How do you say 'to answer' in French?,répondre
What is the French word for 'to bring'?,apporter
How do you say 'to open' in French?,ouvrir
What is the French word for 'to close'?,fermer
How do you say 'to break' in French?,casser
What is the French word for 'to keep'?,garder
How do you say 'to forget' in French?,oublier
What is the French word for 'to remember'?,se souvenir
How do you say 'to borrow' in French?,emprunter
What is the French word for 'to lend'?,prêter
How do you say 'to send' in French?,envoyer
What is the French word for 'to receive'?,recevoir
How do you say 'to pay' in French?,payer
What is the French word for 'to serve'?,servir
How do you say 'to sell' in French?,vendre
What is the French word for 'to call'?,appeler
How do you say 'to ask' in French?,demander
What is the French word for 'to explain'?,expliquer
How do you say 'to listen' in French?,écouter
What is the French word for 'to teach'?,enseigner
How do you say 'to prepare' in French?,préparer
What is the French word for 'to watch'?,regarder
How do you say 'to cook' in French?,cuisiner
What is the French word for 'to swim'?,nager
How do you say 'to drive' in French?,conduire
What is the French word for 'to travel'?,voyager
How do you say 'to take' in French?,prendre
What is the French word for 'to give'?,donner
How do you say 'to follow' in French?,suivre
What is the French word for 'to build'?,construire
How do you say 'to destroy' in French?,détruire
What is the French word for 'to use'?,utiliser
How do you say 'to walk' in French?,promener
What is the French word for 'to run'?,courir
How do you say 'to cry' in French?,pleurer
What is the French word for 'to smile'?,sourire
How do you say 'to laugh' in French?,rire
What is the French word for 'to shout'?,crier
How do you say 'to play' in French?,jouer
What is the French word for 'to meet'?,rencontrer
How do you say 'to begin' in French?,démarrer
What is the French word for 'to finish'?,terminer
How do you say 'to participate' in French?,participer
What is the French word for 'to continue'?,continuer
How do you say 'to stop' in French?,arrêter
What is the French word for 'to cancel'?,annuler
